iter	Passed	Remaining
0	0	256
1	2	1436
2	5	1680
3	5	1317
4	12	2579
5	15	2567
6	21	3012
7	26	3244
8	26	2904
9	28	2776
10	28	2586
11	30	2518
12	30	2336
13	32	2296
14	36	2368
15	37	2331
16	39	2311
17	41	2276
18	44	2273
19	50	2456
20	50	2347
21	52	2331
22	52	2240
23	66	2684
24	69	2707
25	69	2608
26	69	2517
27	71	2489
28	71	2410
29	75	2438
30	75	2366
31	75	2296
32	76	2231
33	76	2172
34	80	2215
35	87	2348
36	88	2291
37	88	2234
38	88	2179
39	88	2128
40	88	2078
41	89	2032
42	91	2027
43	94	2055
44	100	2127
45	100	2084
46	100	2042
47	103	2048
48	105	2040
49	106	2032
50	107	1994
51	107	1957
52	107	1922
53	109	1915
54	109	1882
55	109	1850
56	109	1819
57	112	1820
58	112	1790
59	116	1825
60	116	1796
61	118	1794
62	118	1766
63	122	1797
64	123	1772
65	127	1801
66	134	1868
67	136	1865
68	136	1840
69	136	1814
70	136	1790
71	138	1786
72	138	1762
73	140	1761
74	140	1738
75	143	1739
76	145	1740
77	145	1718
78	150	1755
79	150	1735
80	156	1778
81	157	1760
82	157	1741
83	158	1723
84	158	1705
85	158	1687
86	164	1728
87	168	1745
88	172	1762
89	172	1743
90	192	1923
91	196	1939
92	196	1919
93	200	1930
94	205	1955
95	205	1934
96	205	1914
97	219	2019
98	221	2014
99	227	2044
100	229	2038
101	232	2046
102	239	2087
103	240	2067
104	243	2076
105	245	2069
106	245	2049
107	245	2030
108	254	2078
109	254	2059
110	258	2068
111	258	2049
112	260	2043
113	260	2027
114	261	2008
115	262	2002
116	262	1984
117	263	1968
118	263	1951
119	265	1945
120	265	1928
121	268	1933
122	273	1950
123	277	1961
124	278	1946
125	278	1930
126	280	1925
127	281	1921
128	283	1916
129	284	1900
130	284	1885
131	286	1880
132	286	1865
133	286	1850
134	291	1868
135	297	1889
136	302	1908
137	310	1939
138	310	1925
139	311	1910
140	314	1914
141	322	1949
142	322	1935
143	323	1921
144	323	1907
145	327	1913
146	327	1899
147	327	1886
148	327	1872
149	328	1860
150	328	1846
151	332	1853
152	336	1861
153	336	1848
154	338	1847
155	339	1835
156	342	1837
157	356	1898
158	361	1910
159	367	1928
160	367	1915
161	367	1902
162	382	1962
163	385	1964
164	385	1952
165	386	1939
166	386	1926
167	386	1913
168	395	1945
169	396	1934
170	396	1921
171	398	1919
172	399	1907
173	399	1895
174	416	1964
175	416	1951
176	417	1939
177	419	1937
178	424	1947
179	424	1935
180	425	1923
181	425	1911
182	425	1900
183	431	1912
184	431	1901
185	431	1889
186	432	1878
187	432	1867
188	452	1941
189	453	1931
190	453	1920
191	456	1919
192	458	1916
193	458	1905
194	467	1928
195	467	1918
196	467	1906
197	467	1895
198	468	1884
199	468	1873
200	468	1862
201	468	1851
202	471	1850
203	471	1839
204	471	1829
205	471	1818
206	472	1808
207	472	1798
208	475	1797
209	477	1797
210	478	1787
211	481	1788
212	486	1795
213	488	1795
214	489	1785
215	502	1823
216	507	1832
217	511	1834
